,block,predictor,outcome,stratum,n,coef,p
96,C_pollutants_vs_activityBMI,VOC,bmi,all,2225,4.092344411342465,0.00024414635193402857
97,C_pollutants_vs_activityBMI,VOC,bmi,Healthy,752,1.582130320242661,0.3782090770386445
98,C_pollutants_vs_activityBMI,VOC,bmi,Pre-DM,550,6.403544026733205,0.008023138025678814
99,C_pollutants_vs_activityBMI,VOC,bmi,T2DM (Oral Med+Insulin),923,4.118721208208541,0.012709873813210686
100,C_pollutants_vs_activityBMI,VOC,steps,all,1965,1172.2344190808853,0.04074337616042349
101,C_pollutants_vs_activityBMI,VOC,steps,Healthy,676,1376.6462609117873,0.13895216664607327
102,C_pollutants_vs_activityBMI,VOC,steps,Pre-DM,489,784.9297075931528,0.4665263225508445
103,C_pollutants_vs_activityBMI,VOC,steps,T2DM (Oral Med+Insulin),800,1085.1287269833488,0.2520994251642482
104,C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,all,2085,3.353858742765735,0.886378428077176
105,C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Healthy,706,31.420291854995384,0.4444031894878114
106,C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Pre-DM,522,-28.461371392890655,0.5539710346736645
107,C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,0.07807447501349465,0.9982492745327111
