pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
VOC,per_site,UW,normal_windows_per_day,711,0.0496963483286061,-0.7401638023118418,0.1172350531564482,0.46583403939657153,False,0.46583403939657153,False
VOC,per_site,UAB,moderate_hyper_windows_per_day,715,0.0395383086229196,0.872748294136422,0.1173528001613829,0.46583403939657153,False,0.46583403939657153,False
VOC,pooled,all,glucose_cv_ratio,1944,0.0453632744054777,0.014181569774945,0.1184624892514671,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UAB,severe_hyper_fraction,715,0.05215612240485,0.0086928808447118,0.1232330852596826,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UAB,moderate_hypo_fraction,715,0.0244333972974634,0.0010535899549571,0.1242003655712884,0.46583403939657153,False,0.46583403939657153,False
VOC,per_site,UW,normal_mean_glucose,707,0.1138905963038755,-7.632360015404179,0.1245031920894919,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UAB,moderate_hyper_minutes_per_day,715,0.045799806312,10.98905644622027,0.1258234088048049,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UAB,moderate_hypo_minutes_per_day,715,0.0233116917205411,1.4193654086609142,0.1261633856699048,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UCSD,severe_hyper_mean_glucose,189,0.0992083735202454,2.6063035006143003,0.1374133865632649,0.5009500674711429,False,0.5009500674711429,False
PM2.5,pooled,all,glucose_mean,1944,0.0622407901709677,1.29866445523172,0.1413376450821219,0.5046303126635157,False,0.5046303126635157,False
PM2.5,per_site,UW,glucose_mean_daily_variance,711,0.0956443864223869,32.51803328301579,0.1419272754366138,0.5046303126635157,False,0.5046303126635157,False
VOC,pooled,all,moderate_hyper_windows_per_day,1944,0.0568439862114181,0.4980418604585001,0.1442833293819913,0.5056103456442207,False,0.5056103456442207,False
NOx,pooled,all,moderate_hyper_mean_glucose,1740,0.035649558920048,1.8706778498026635,0.1457140926682997,0.5056103456442207,False,0.5056103456442207,False
NOx,per_site,UAB,glucose_cv_ratio,715,0.0363358140742953,0.0165335315196729,0.1490653338083538,0.5110811444857845,False,0.5110811444857845,False
