env_metric,sdoh_score,variant,n,env_coef,env_p,eg27_or_eg32_rho,eg33_q_value
mean_voc,food_insecurity_score,raw,2223,0.00443666559353556,3.676303686549035e-05,0.1095708319843887,1.0420600641471857e-06
mean_voc,food_insecurity_score,age_site_adjusted,2223,0.0034859877611468884,0.000993674491823891,0.1095708319843887,1.0420600641471857e-06
mean_voc,food_insecurity_score,severity_adjusted,2223,0.0029320211499440155,0.004695873072068086,0.1095708319843887,1.0420600641471857e-06
mean_light,paid_total,raw,2182,-14.458842354151692,0.04893539738128464,-0.0975526271886999,2.0964016035918142e-05
mean_light,paid_total,age_site_adjusted,2182,-13.105308441872076,0.07234417033064577,-0.0975526271886999,2.0964016035918142e-05
mean_light,paid_total,severity_adjusted,2182,-11.712479277494909,0.09801424384798327,-0.0975526271886999,2.0964016035918142e-05
mean_nox,neighborhood_score,raw,2110,-0.02141744577513623,0.11121681984455646,0.093041383202439,7.1171409947216e-05
mean_nox,neighborhood_score,age_site_adjusted,2110,-0.0235504162883257,0.05397146088603937,0.093041383202439,7.1171409947216e-05
mean_nox,neighborhood_score,severity_adjusted,2110,-0.023236702222982995,0.056919265569958154,0.093041383202439,7.1171409947216e-05
mean_light,substance_use_count,raw,2230,5.727420874194681,0.042953101538390374,0.0801491987007654,0.0005297118925448
mean_light,substance_use_count,age_site_adjusted,2230,3.7666031607438866,0.17596055054349996,0.0801491987007654,0.0005297118925448
mean_light,substance_use_count,severity_adjusted,2230,3.529455189634153,0.20129236753509355,0.0801491987007654,0.0005297118925448
mean_nox,substance_use_count,raw,2229,-0.0002907715874587617,0.9963531385968131,0.0753118753762073,0.0012040635745578
mean_nox,substance_use_count,age_site_adjusted,2229,-0.002237784881931806,0.9713961305806597,0.0753118753762073,0.0012040635745578
mean_nox,substance_use_count,severity_adjusted,2229,0.002316997998712961,0.970148244145864,0.0753118753762073,0.0012040635745578
mean_light,neighborhood_score,raw,2111,1.0838684045754094,0.07578803396146616,0.0753620923890356,0.0015881174887218
mean_light,neighborhood_score,age_site_adjusted,2111,0.05184262598497242,0.9258269000180998,0.0753620923890356,0.0015881174887218
mean_light,neighborhood_score,severity_adjusted,2111,0.06077716220184789,0.9129848198061226,0.0753620923890356,0.0015881174887218
mean_hum,paid_total,raw,2181,0.0480992956552233,0.0009688419464186683,0.0733499741637321,0.0017013680136437
mean_hum,paid_total,age_site_adjusted,2181,0.03749072410085161,0.012680761765123527,0.0733499741637321,0.0017013680136437
mean_hum,paid_total,severity_adjusted,2181,0.030890661000252437,0.03452640716853161,0.0733499741637321,0.0017013680136437
mean_light,diet_score,raw,706,-8.02541597413251,0.2677769942743899,-0.1228367097034357,0.0028185130305929
mean_light,diet_score,age_site_adjusted,706,-4.196104125146994,0.5590369416941114,-0.1228367097034357,0.0028185130305929
mean_light,diet_score,severity_adjusted,706,-4.473986439466126,0.5335568195871395,-0.1228367097034357,0.0028185130305929
mean_voc,cesd_total,raw,2227,0.018032897026127162,0.005570314824899088,0.0672053375247867,0.0037235733358554
mean_voc,cesd_total,age_site_adjusted,2227,0.012168649142877306,0.056307851110683524,0.0672053375247867,0.0037235733358554
mean_voc,cesd_total,severity_adjusted,2227,0.010519466642779567,0.09660689966191993,0.0672053375247867,0.0037235733358554
mean_pm25,diet_score,raw,705,0.0016947776866323668,0.5569768554247244,0.1178999103780972,0.0039983628507599
mean_pm25,diet_score,age_site_adjusted,705,0.00026059821510349487,0.9275500469889753,0.1178999103780972,0.0039983628507599
mean_pm25,diet_score,severity_adjusted,705,0.00010959476545027258,0.9694994673008276,0.1178999103780972,0.0039983628507599
mean_nox,cesd_total,raw,2227,-0.2602175676547272,0.13408139327927568,-0.0636906666771746,0.0057114524682016
mean_nox,cesd_total,age_site_adjusted,2227,-0.2107767285008488,0.2134762595653753,-0.0636906666771746,0.0057114524682016
mean_nox,cesd_total,severity_adjusted,2227,-0.2245161110627409,0.18131129807524934,-0.0636906666771746,0.0057114524682016
mean_voc,substance_use_count,raw,2229,0.006047128432757819,0.011087202845939349,0.0634668672282275,0.0057114524682016
mean_voc,substance_use_count,age_site_adjusted,2229,0.006112536337578657,0.009174819066222601,0.0634668672282275,0.0057114524682016
mean_voc,substance_use_count,severity_adjusted,2229,0.006753003622415193,0.0037669523357198773,0.0634668672282275,0.0057114524682016
mean_temp,neighborhood_score,raw,2110,-0.006198586672234308,0.0820389155510273,-0.0630347876297203,0.0075433725658356
mean_temp,neighborhood_score,age_site_adjusted,2110,0.008017311267909713,0.01691370218773144,-0.0630347876297203,0.0075433725658356
mean_temp,neighborhood_score,severity_adjusted,2110,0.008564452034788055,0.011238961370950849,-0.0630347876297203,0.0075433725658356
mean_voc,current_smoker,raw,2215,0.0015726709880533852,0.007834747065906434,0.0562647299139857,0.0154288213189634
mean_voc,current_smoker,age_site_adjusted,2215,0.0017952796485946716,0.002431800981125285,0.0562647299139857,0.0154288213189634
mean_voc,current_smoker,severity_adjusted,2215,0.0016981111886491226,0.00415390096508846,0.0562647299139857,0.0154288213189634
mean_hum,food_insecurity_score,raw,2223,0.006100895863043019,0.01885249976941588,0.054262953146411,0.0191760621088418
mean_hum,food_insecurity_score,age_site_adjusted,2223,0.004130569077286769,0.11876818877464795,0.054262953146411,0.0191760621088418
mean_hum,food_insecurity_score,severity_adjusted,2223,0.0035676987132517283,0.16851894013665553,0.054262953146411,0.0191760621088418
mean_temp,current_smoker,raw,2215,0.009227863847572874,0.02494705889824508,0.0531185180553148,0.0217146558976973
mean_temp,current_smoker,age_site_adjusted,2215,0.007230403110314249,0.08903525585449967,0.0531185180553148,0.0217146558976973
mean_temp,current_smoker,severity_adjusted,2215,0.006119300252541038,0.1523100493950697,0.0531185180553148,0.0217146558976973
mean_nox,food_insecurity_score,raw,2223,-0.03667350029303511,0.20194630951542739,-0.0496160623862365,0.0324437267169163
mean_nox,food_insecurity_score,age_site_adjusted,2223,-0.03127999691083193,0.26674272802937266,-0.0496160623862365,0.0324437267169163
mean_nox,food_insecurity_score,severity_adjusted,2223,-0.03428094920364525,0.21304322009236093,-0.0496160623862365,0.0324437267169163
