pollutant,scope,site,outcome,n,r2,coef,p_value
NOx,per_site,UAB,moderate_hyper_mean_glucose,642,0.038601812727265816,1.9668265042140052,0.3266323009221599
NOx,per_site,UCSD,moderate_hyper_mean_glucose,466,0.030394517298775736,4.005111662275034,0.1809336535218473
NOx,pooled,all,moderate_hyper_windows_per_day,1944,0.05626634344274961,0.25656479398147636,0.3299555099571356
NOx,per_site,UW,moderate_hyper_windows_per_day,711,0.09921159747427355,-0.01778053978050915,0.965177627078978
NOx,per_site,UAB,moderate_hyper_windows_per_day,715,0.03632201700942472,0.13508143731983202,0.7473492413480202
NOx,per_site,UCSD,moderate_hyper_windows_per_day,518,0.06745795180710434,1.4432092403891472,0.02250656449398178
NOx,pooled,all,severe_hyper_minutes_per_day,1944,0.040363836213073045,-10.743112371136762,0.5789357490144178
NOx,per_site,UW,severe_hyper_minutes_per_day,711,0.06140907944545504,-13.615090742331372,0.5849157275847212
NOx,per_site,UAB,severe_hyper_minutes_per_day,715,0.050348852686271095,-24.378937667013332,0.49454488744624786
NOx,per_site,UCSD,severe_hyper_minutes_per_day,518,0.03810244779814209,46.30270308687818,0.24929529338169715
NOx,pooled,all,severe_hyper_fraction,1944,0.039875780275254846,-0.010420183576469054,0.5340428574592295
NOx,per_site,UW,severe_hyper_fraction,711,0.06914381325300645,-0.013590936514503648,0.5613489624282387
NOx,per_site,UAB,severe_hyper_fraction,715,0.0496110668222548,-0.020702773139534635,0.48304292576787233
NOx,per_site,UCSD,severe_hyper_fraction,518,0.04993771801786717,0.03133487554435611,0.3834053413862878
NOx,pooled,all,severe_hyper_mean_glucose,728,0.06852352462964406,-1.5670376828894712,0.6767674849171822
NOx,per_site,UW,severe_hyper_mean_glucose,243,0.11407140823314621,4.47832565185025,0.4765005278623161
NOx,per_site,UAB,severe_hyper_mean_glucose,296,0.11649229500679614,-8.74964610446034,0.11204674015199122
NOx,per_site,UCSD,severe_hyper_mean_glucose,189,0.08984563066542162,5.711771800275176,0.5367382201161855
NOx,pooled,all,severe_hyper_windows_per_day,1944,0.04371239063347876,0.02237745768086059,0.8258154839524058
NOx,per_site,UW,severe_hyper_windows_per_day,711,0.08440950384044743,-0.04501884763441706,0.7535254497356931
NOx,per_site,UAB,severe_hyper_windows_per_day,715,0.03463625072969323,-0.017764945372931468,0.9183581618517948
NOx,per_site,UCSD,severe_hyper_windows_per_day,518,0.03941023173836167,0.3717573358762141,0.11697703729152571
NOx,pooled,all,glucose_mean,1944,0.061193229366875435,0.3943929068145291,0.9338897610962773
NOx,per_site,UW,glucose_mean,711,0.11003030033683703,-4.663050309346258,0.503802375492433
NOx,per_site,UAB,glucose_mean,715,0.05311648885343201,-3.8183427201201643,0.6298891507339233
NOx,per_site,UCSD,glucose_mean,518,0.05928833862628313,25.23396960496145,0.023457374635958542
NOx,pooled,all,glucose_overall_variance,1944,0.052094994751523904,94.38812652105658,0.4319954266303401
NOx,per_site,UW,glucose_overall_variance,711,0.09071122677474153,58.362603169640906,0.6983086794607766
NOx,per_site,UAB,glucose_overall_variance,715,0.04796110609458559,-45.175333737713686,0.8292239566742805
NOx,per_site,UCSD,glucose_overall_variance,518,0.050352301387830645,570.8663044667093,0.0511538413824842
NOx,pooled,all,glucose_mean_daily_variance,1944,0.051861079862330794,100.56055234802744,0.2766937749800379
NOx,per_site,UW,glucose_mean_daily_variance,711,0.09287045882098655,15.597101638860067,0.8941342353575809
NOx,per_site,UAB,glucose_mean_daily_variance,715,0.042175890963356166,34.61787920042539,0.8268644671879374
NOx,per_site,UCSD,glucose_mean_daily_variance,518,0.05305446932193392,470.74959480027644,0.042601720648620854
NOx,pooled,all,glucose_cv_ratio,1944,0.046040816588648115,0.01368188205400624,0.05098158801792467
NOx,per_site,UW,glucose_cv_ratio,711,0.06218389175255434,0.010174532839969719,0.31811469387422536
NOx,per_site,UAB,glucose_cv_ratio,715,0.036335814074295314,0.01653353151967291,0.14906533380835388
NOx,per_site,UCSD,glucose_cv_ratio,518,0.057331216482850667,0.019833628562723134,0.24407583928626803
VOC,pooled,all,severe_hypo_minutes_per_day,1944,0.011620681535333244,2.55718495788955,0.2274563413883865
VOC,per_site,UW,severe_hypo_minutes_per_day,711,0.015420519194323967,0.6384842086200662,0.6820832082622243
VOC,per_site,UAB,severe_hypo_minutes_per_day,715,0.019980342344556923,4.336635608267597,0.33248744666162394
VOC,per_site,UCSD,severe_hypo_minutes_per_day,518,0.05612701014025756,2.07277130626218,0.5609517452666495
VOC,pooled,all,severe_hypo_fraction,1944,0.008854913870233738,0.0034574738534413067,0.21118083600314677
VOC,per_site,UW,severe_hypo_fraction,711,0.015471084543034475,0.0004304554530550089,0.6978077659467852
VOC,per_site,UAB,severe_hypo_fraction,715,0.016880934211666587,0.006160496090645984,0.3397254056664288
