block,predictor,outcome,stratum,n,coef,p,q_value_at_0.05,fdr_significant_q0.05,fdr_significant_q0.10
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Pre-DM,522,29.074013808711275,0.3980723107259438,0.6055184444845342,False,False
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,-18.483447606325186,0.4865596343761626,0.6824472793847476,False,False
C_pollutants_vs_activityBMI,VOC,bmi,all,2225,4.092344411342465,0.000244146351934,0.0023970732735338184,True,True
C_pollutants_vs_activityBMI,VOC,bmi,Healthy,752,1.582130320242661,0.3782090770386445,0.58352257600248,False,False
C_pollutants_vs_activityBMI,VOC,bmi,Pre-DM,550,6.403544026733205,0.0080231380256788,0.04126185270349097,True,True
C_pollutants_vs_activityBMI,VOC,bmi,T2DM (Oral Med+Insulin),923,4.118721208208541,0.0127098738132106,0.05490665487306979,False,True
C_pollutants_vs_activityBMI,VOC,steps,all,1965,1172.2344190808851,0.0407433761604234,0.11892661149528992,False,False
C_pollutants_vs_activityBMI,VOC,steps,Healthy,676,1376.6462609117873,0.1389521666460732,0.3001366799555181,False,False
C_pollutants_vs_activityBMI,VOC,steps,Pre-DM,489,784.9297075931528,0.4665263225508445,0.6753348883441578,False,False
C_pollutants_vs_activityBMI,VOC,steps,T2DM (Oral Med+Insulin),800,1085.1287269833488,0.2520994251642482,0.43914093415707756,False,False
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,all,2085,3.353858742765735,0.886378428077176,0.9385183356111276,False,False
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Healthy,706,31.420291854995384,0.4444031894878114,0.6574732118449812,False,False
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Pre-DM,522,-28.46137139289065,0.5539710346736645,0.7386280462315526,False,False
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,0.0780744750134946,0.9982492745327112,0.9982492745327112,False,False
