exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
qrsd_ms,log_troponin,unadjusted,QRS duration (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,17.74723097043097,2208,0.1593,0.1375,0.1812,1.746975172477696e-44,,
qrsd_ms,log_troponin,damage,QRS duration (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,17.74723097043097,2208,0.1078,0.0876,0.128,4.9526681265938e-25,1.9810672506375202e-23,
qrsd_ms,monofilament_missed,unadjusted,QRS duration (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,17.74723097043097,2243,0.2803,0.2012,0.3594,4.885124111967729e-12,,
qrsd_ms,monofilament_missed,damage,QRS duration (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,17.74723097043097,2243,0.1779,0.0985,0.2573,1.1522041190863673e-05,9.217632952690939e-05,
qt_ms,abn_kidney,unadjusted,QT interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,33.384159307964325,2201,0.9073,0.8032,1.025,0.1179395065416496,,
qt_ms,abn_kidney,damage,QT interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,33.384159307964325,2201,0.9321,0.8207,1.0587,0.27927355984364444,0.328557129227817,
qt_ms,abn_heart,unadjusted,QT interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,33.384159307964325,2208,1.0845,0.9785,1.202,0.12196249842970268,,
qt_ms,abn_heart,damage,QT interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,33.384159307964325,2208,1.0279,0.9158,1.1536,0.6404711156448972,0.7116345729387746,
qt_ms,abn_nerve,unadjusted,QT interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,33.384159307964325,2243,1.0593,0.9435,1.1893,0.32925778124135774,,
qt_ms,abn_nerve,damage,QT interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,33.384159307964325,2243,0.9782,0.8647,1.1067,0.7265345697878483,0.7854427781490251,
qt_ms,abn_any,unadjusted,QT interval (ms),Any of the three organs abnormal,binomial,per 1 SD,33.384159307964325,2193,1.046,0.9582,1.1419,0.3148947713981818,,
qt_ms,abn_any,damage,QT interval (ms),Any of the three organs abnormal,binomial,per 1 SD,33.384159307964325,2193,1.0093,0.9146,1.1139,0.8537816622189898,0.8987175391778839,
qt_ms,abn_multi,unadjusted,QT interval (ms),Two or more organs abnormal,binomial,per 1 SD,33.384159307964325,2193,1.0326,0.906,1.1768,0.6307114887735921,,
qt_ms,abn_multi,damage,QT interval (ms),Two or more organs abnormal,binomial,per 1 SD,33.384159307964325,2193,0.9581,0.8304,1.1054,0.5572807972179146,0.6368923396776166,
qt_ms,log_acr,unadjusted,QT interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,33.384159307964325,2201,-0.1033,-0.1832,-0.0234,0.01134543817804508,,
qt_ms,log_acr,damage,QT interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,33.384159307964325,2201,-0.0854,-0.1668,-0.004,0.03971938770037313,0.05884353733388612,
qt_ms,log_troponin,unadjusted,QT interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,33.384159307964325,2208,0.0172,-0.0057,0.0401,0.14072215820569162,,
qt_ms,log_troponin,damage,QT interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,33.384159307964325,2208,0.0004,-0.0206,0.0214,0.9705488827681672,0.9825129440608859,
qt_ms,monofilament_missed,unadjusted,QT interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,33.384159307964325,2243,0.0318,-0.0481,0.1118,0.4352028871443797,,
qt_ms,monofilament_missed,damage,QT interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,33.384159307964325,2243,0.0009,-0.08,0.0818,0.9825129440608859,0.9825129440608859,
qtc_ms,abn_kidney,unadjusted,QTc interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,28.10831863671762,2201,1.2732,1.1414,1.4203,1.4865224149281593e-05,,
qtc_ms,abn_kidney,damage,QTc interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,28.10831863671762,2201,1.1724,1.0457,1.3146,0.00643819295333686,0.012876385906673721,
qtc_ms,abn_heart,unadjusted,QTc interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,28.10831863671762,2208,1.367,1.2363,1.5115,1.0754702954812425e-09,,
qtc_ms,abn_heart,damage,QTc interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,28.10831863671762,2208,1.2042,1.08,1.3428,0.0008238355432502416,0.0023538158378578334,
qtc_ms,abn_nerve,unadjusted,QTc interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,28.10831863671762,2243,1.2273,1.1016,1.3674,0.00020321273861089177,,
qtc_ms,abn_nerve,damage,QTc interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,28.10831863671762,2243,1.1104,0.991,1.2442,0.07126365053398494,0.0972262184908,
qtc_ms,abn_any,unadjusted,QTc interval (ms),Any of the three organs abnormal,binomial,per 1 SD,28.10831863671762,2193,1.3281,1.2127,1.4546,9.628366131922595e-10,,
qtc_ms,abn_any,damage,QTc interval (ms),Any of the three organs abnormal,binomial,per 1 SD,28.10831863671762,2193,1.1991,1.0876,1.3219,0.00026522073104145224,0.0009644390219689172,
qtc_ms,abn_multi,unadjusted,QTc interval (ms),Two or more organs abnormal,binomial,per 1 SD,28.10831863671762,2193,1.3962,1.241,1.5707,2.840801122964754e-08,,
qtc_ms,abn_multi,damage,QTc interval (ms),Two or more organs abnormal,binomial,per 1 SD,28.10831863671762,2193,1.2029,1.06,1.365,0.0041939284788883625,0.00931984106419636,
qtc_ms,log_acr,unadjusted,QTc interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,28.10831863671762,2201,0.2093,0.1296,0.289,2.814498041455912e-07,,
qtc_ms,log_acr,damage,QTc interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,28.10831863671762,2201,0.1545,0.0751,0.2339,0.00014045570969664788,0.0005676083537196412,
qtc_ms,log_troponin,unadjusted,QTc interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,28.10831863671762,2208,0.0834,0.0608,0.106,5.976399317523575e-13,,
qtc_ms,log_troponin,damage,QTc interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,28.10831863671762,2208,0.0438,0.0234,0.0642,2.7367757261062908e-05,0.00013683878630531455,
qtc_ms,monofilament_missed,unadjusted,QTc interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,28.10831863671762,2243,0.1657,0.086,0.2454,4.704848702731709e-05,,
qtc_ms,monofilament_missed,damage,QTc interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,28.10831863671762,2243,0.084,0.0052,0.1629,0.03668724990913724,0.05644192293713422,
