exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
glucose_cv,abn_heart,damage,CGM coefficient of variation (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,5.612658980745045,2202,1.0495,0.9272,1.188,0.44461240460675366,0.44461240460675366,
glucose_cv,abn_nerve,unadjusted,CGM coefficient of variation (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,5.612658980745045,2238,1.2942,1.1617,1.4417,2.8672480903602126e-06,,
glucose_cv,abn_nerve,damage,CGM coefficient of variation (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,5.612658980745045,2238,1.0756,0.9436,1.2259,0.27522055088295827,0.29753573068427924,
glucose_cv,abn_any,unadjusted,CGM coefficient of variation (%),Any of the three organs abnormal,binomial,per 1 SD,5.612658980745045,2188,1.4796,1.3513,1.6201,2.554779675049896e-17,,
glucose_cv,abn_any,damage,CGM coefficient of variation (%),Any of the three organs abnormal,binomial,per 1 SD,5.612658980745045,2188,1.1473,1.0321,1.2754,0.01089860272337969,0.014062713191457665,
glucose_cv,abn_multi,unadjusted,CGM coefficient of variation (%),Two or more organs abnormal,binomial,per 1 SD,5.612658980745045,2188,1.6361,1.4562,1.8383,1.2031674029164407e-16,,
glucose_cv,abn_multi,damage,CGM coefficient of variation (%),Two or more organs abnormal,binomial,per 1 SD,5.612658980745045,2188,1.2189,1.0545,1.409,0.007422011138249925,0.01023725674241369,
glucose_cv,log_acr,unadjusted,CGM coefficient of variation (%),log urine ACR (mg/g),gaussian,per 1 SD,5.612658980745045,2195,0.2977,0.2188,0.3767,2.0175285156221134e-13,,
glucose_cv,log_acr,damage,CGM coefficient of variation (%),log urine ACR (mg/g),gaussian,per 1 SD,5.612658980745045,2195,0.1397,0.0519,0.2275,0.001824102041205073,0.002918563265928117,
glucose_cv,log_troponin,unadjusted,CGM coefficient of variation (%),log hs-cTnT (ng/L),gaussian,per 1 SD,5.612658980745045,2202,0.1077,0.0856,0.1298,3.0253970932236864e-21,,
glucose_cv,log_troponin,damage,CGM coefficient of variation (%),log hs-cTnT (ng/L),gaussian,per 1 SD,5.612658980745045,2202,0.02,-0.0022,0.0423,0.07727823488979119,0.09091557045857787,
glucose_cv,monofilament_missed,unadjusted,CGM coefficient of variation (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,5.612658980745045,2238,0.2122,0.1318,0.2925,2.4180608908987826e-07,,
glucose_cv,monofilament_missed,damage,CGM coefficient of variation (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,5.612658980745045,2238,0.0453,-0.0431,0.1337,0.31483505220984775,0.33140531811562923,
mage,abn_kidney,unadjusted,CGM MAGE (mg/dL),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,22.480140528105057,2194,1.6957,1.5253,1.8853,1.5340647113276997e-22,,
mage,abn_kidney,damage,CGM MAGE (mg/dL),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,22.480140528105057,2194,1.4372,1.2627,1.6358,4.003789896821831e-08,1.6015159587287325e-07,
mage,abn_heart,unadjusted,CGM MAGE (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,22.480140528105057,2201,1.535,1.3929,1.6915,5.267697855009945e-18,,
mage,abn_heart,damage,CGM MAGE (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,22.480140528105057,2201,1.09,0.9591,1.2386,0.18673446414811512,0.20748273794235014,
mage,abn_nerve,unadjusted,CGM MAGE (mg/dL),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,22.480140528105057,2237,1.3305,1.1976,1.4783,1.0547782373983498e-07,,
mage,abn_nerve,damage,CGM MAGE (mg/dL),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,22.480140528105057,2237,1.1244,0.9809,1.2888,0.09239215104956183,0.10559102977092781,
mage,abn_any,unadjusted,CGM MAGE (mg/dL),Any of the three organs abnormal,binomial,per 1 SD,22.480140528105057,2187,1.5917,1.4518,1.745,3.8643347945815166e-23,,
mage,abn_any,damage,CGM MAGE (mg/dL),Any of the three organs abnormal,binomial,per 1 SD,22.480140528105057,2187,1.2222,1.0921,1.3677,0.0004736589546458011,0.0009473179092916022,
mage,abn_multi,unadjusted,CGM MAGE (mg/dL),Two or more organs abnormal,binomial,per 1 SD,22.480140528105057,2187,1.717,1.5337,1.9223,6.463839111282807e-21,,
mage,abn_multi,damage,CGM MAGE (mg/dL),Two or more organs abnormal,binomial,per 1 SD,22.480140528105057,2187,1.3042,1.125,1.5119,0.00042904524251159796,0.00090325314212968,
mage,log_acr,unadjusted,CGM MAGE (mg/dL),log urine ACR (mg/g),gaussian,per 1 SD,22.480140528105057,2194,0.3766,0.2981,0.4551,1.1766246681338204e-20,,
mage,log_acr,damage,CGM MAGE (mg/dL),log urine ACR (mg/g),gaussian,per 1 SD,22.480140528105057,2194,0.2198,0.126,0.3135,4.539958812571343e-06,1.1349897031428358e-05,
mage,log_troponin,unadjusted,CGM MAGE (mg/dL),log hs-cTnT (ng/L),gaussian,per 1 SD,22.480140528105057,2201,0.1321,0.1101,0.154,3.0181621005151465e-31,,
mage,log_troponin,damage,CGM MAGE (mg/dL),log hs-cTnT (ng/L),gaussian,per 1 SD,22.480140528105057,2201,0.0384,0.0145,0.0622,0.0016149204421990204,0.0026915340703317007,
mage,monofilament_missed,unadjusted,CGM MAGE (mg/dL),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,22.480140528105057,2237,0.2231,0.1427,0.3035,5.807006681939835e-08,,
mage,monofilament_missed,damage,CGM MAGE (mg/dL),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,22.480140528105057,2237,0.0382,-0.0562,0.1327,0.4272061403276898,0.4381601439258357,
