experiment,exposure,outcome,site,n,estimate,ci_lo,ci_hi,p,note
E2C.3,paid_positive,monofilament_missed,UAB,790,-0.1449,-0.5415,0.2517,0.4734669848165025,
E2C.3,paid_positive,monofilament_missed,UCSD,664,0.185,-0.1311,0.501,0.2509150464481331,
E2A.1,hba1c,abn_kidney,UW,795,1.4927,1.173,1.8994,0.0011230984172781574,
E2A.1,hba1c,abn_kidney,UAB,770,1.5068,1.2734,1.7828,1.7873786637139385e-06,
E2A.1,hba1c,abn_kidney,UCSD,638,1.4578,1.1327,1.8762,0.003411851235731671,
E2A.1,hba1c,abn_heart,UW,796,1.1759,0.9097,1.52,0.2159958650348811,
E2A.1,hba1c,abn_heart,UAB,773,1.243,1.0488,1.473,0.012061864699472935,
E2A.1,hba1c,abn_heart,UCSD,642,1.2293,0.9707,1.5566,0.0866307573855336,
E2A.1,hba1c,abn_nerve,UW,793,1.154,0.8675,1.5351,0.32518097131736523,
E2A.1,hba1c,abn_nerve,UAB,772,1.0914,0.9144,1.3025,0.33263138677240756,
E2A.1,hba1c,abn_nerve,UCSD,638,1.4303,1.0868,1.8822,0.010636814087079498,
E2A.1,hba1c,abn_any,UW,792,1.3301,1.0616,1.6665,0.013139967753175833,
E2A.1,hba1c,abn_any,UAB,770,1.3473,1.146,1.5841,0.0003064754697438924,
E2A.1,hba1c,abn_any,UCSD,634,1.5531,1.1794,2.0453,0.0017214241523927998,
E2A.1,hba1c,abn_multi,UW,792,1.4495,1.0806,1.9443,0.013250053655115978,
E2A.1,hba1c,abn_multi,UAB,770,1.3986,1.1706,1.6709,0.0002193697847325394,
E2A.1,hba1c,abn_multi,UCSD,634,1.3669,1.0382,1.7996,0.025931356415888004,
E2A.1,hba1c,log_acr,UW,795,0.3479,0.1574,0.5385,0.0003577865383679953,
E2A.1,hba1c,log_acr,UAB,770,0.3074,0.183,0.4319,1.4953288536269885e-06,
E2A.1,hba1c,log_acr,UCSD,638,0.392,0.1977,0.5863,8.276936058225907e-05,
E2A.1,hba1c,log_troponin,UW,796,0.0165,-0.0272,0.0603,0.458934428533619,
E2A.1,hba1c,log_troponin,UAB,773,0.0672,0.0321,0.1023,0.00018228383366812717,
E2A.1,hba1c,log_troponin,UCSD,642,0.0747,0.026,0.1235,0.0027038074213763183,
E2A.1,hba1c,monofilament_missed,UW,793,0.1176,-0.0551,0.2902,0.1817621560737219,
E2A.1,hba1c,monofilament_missed,UAB,772,0.0236,-0.1249,0.1721,0.7551515269719751,
E2A.1,hba1c,monofilament_missed,UCSD,638,0.2565,0.0816,0.4314,0.0041106079841344055,
E2A.1,glucose_mean,abn_kidney,UW,789,1.402,1.1234,1.7497,0.002798725617972357,
E2A.1,glucose_mean,abn_kidney,UAB,780,1.4372,1.214,1.7015,2.5383751881047996e-05,
E2A.1,glucose_mean,abn_kidney,UCSD,626,1.7169,1.3285,2.2189,3.611319091618088e-05,
E2A.1,glucose_mean,abn_heart,UW,789,1.2199,0.9596,1.5507,0.1045568734970988,
E2A.1,glucose_mean,abn_heart,UAB,783,1.2151,1.0217,1.4452,0.02763526952245,
E2A.1,glucose_mean,abn_heart,UCSD,630,1.2673,1.0077,1.5938,0.04284275685171523,
E2A.1,glucose_mean,abn_nerve,UW,787,1.095,0.8373,1.4319,0.5074635636888273,
E2A.1,glucose_mean,abn_nerve,UAB,790,1.1589,0.9769,1.3748,0.09074164088248202,
E2A.1,glucose_mean,abn_nerve,UCSD,661,1.5286,1.1971,1.9519,0.0006686271179586477,
E2A.1,glucose_mean,abn_any,UW,785,1.2845,1.0392,1.5879,0.020605221997728684,
E2A.1,glucose_mean,abn_any,UAB,780,1.4316,1.2097,1.6941,2.978904851975905e-05,
E2A.1,glucose_mean,abn_any,UCSD,623,1.5552,1.205,2.0072,0.0006925120530169031,
E2A.1,glucose_mean,abn_multi,UW,785,1.4071,1.0635,1.8617,0.01679220228214719,
E2A.1,glucose_mean,abn_multi,UAB,780,1.3455,1.1234,1.6116,0.001264240879606686,
E2A.1,glucose_mean,abn_multi,UCSD,623,1.5952,1.2211,2.0839,0.0006146763632533063,
E2A.1,glucose_mean,log_acr,UW,789,0.2147,0.0429,0.3865,0.014372175469806016,
E2A.1,glucose_mean,log_acr,UAB,780,0.2141,0.0847,0.3435,0.0012160349438770591,
E2A.1,glucose_mean,log_acr,UCSD,626,0.4926,0.3001,0.6851,6.592262736592928e-07,
E2A.1,glucose_mean,log_troponin,UW,789,0.0464,0.0065,0.0863,0.022611947247742584,
E2A.1,glucose_mean,log_troponin,UAB,783,0.0688,0.0329,0.1047,0.00017922785788105155,
E2A.1,glucose_mean,log_troponin,UCSD,630,0.0948,0.0467,0.1428,0.00011823281063151725,
E2A.1,glucose_mean,monofilament_missed,UW,787,0.0218,-0.1352,0.1788,0.7849271565893763,
E2A.1,glucose_mean,monofilament_missed,UAB,790,0.0735,-0.0751,0.222,0.33194338248304844,
E2A.1,glucose_mean,monofilament_missed,UCSD,661,0.2905,0.1181,0.4629,0.0009859730796152664,
E2A.1,tar_180,abn_kidney,UW,789,1.4419,1.1531,1.803,0.00132910362862844,
E2A.1,tar_180,abn_kidney,UAB,780,1.4432,1.2155,1.7135,2.818046436422056e-05,
E2A.1,tar_180,abn_kidney,UCSD,626,1.6879,1.3132,2.1696,4.372653978873593e-05,
E2A.1,tar_180,abn_heart,UW,789,1.1594,0.9157,1.4678,0.2192467380576104,
E2A.1,tar_180,abn_heart,UAB,783,1.2194,1.0225,1.4541,0.02723990759145827,
E2A.1,tar_180,abn_heart,UCSD,630,1.2303,0.9639,1.5703,0.09602921075611211,
E2A.1,tar_180,abn_nerve,UW,787,1.0296,0.7898,1.3422,0.8291334621146739,
E2A.1,tar_180,abn_nerve,UAB,790,1.1719,0.9837,1.3961,0.07573853976430373,
E2A.1,tar_180,abn_nerve,UCSD,661,1.6483,1.2669,2.1444,0.00019761452768592838,
E2A.1,tar_180,abn_any,UW,785,1.3084,1.0598,1.6154,0.01242723916352375,
E2A.1,tar_180,abn_any,UAB,780,1.446,1.2272,1.7037,1.049804497056577e-05,
E2A.1,tar_180,abn_any,UCSD,623,1.5138,1.1816,1.9394,0.0010370263772507605,
E2A.1,tar_180,abn_multi,UW,785,1.2713,0.9614,1.681,0.09218312071891167,
E2A.1,tar_180,abn_multi,UAB,780,1.3475,1.1202,1.6209,0.0015520915330278103,
E2A.1,tar_180,abn_multi,UCSD,623,1.5639,1.1673,2.0952,0.0027290111800852934,
E2A.1,tar_180,log_acr,UW,789,0.2532,0.0786,0.4278,0.004539276397226196,
E2A.1,tar_180,log_acr,UAB,780,0.2302,0.0991,0.3613,0.0006002147268571275,
