exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
stress,abn_multi,unadjusted,Garmin stress score,Two or more organs abnormal,binomial,per 1 SD,13.567662112817763,1936,1.2028,1.0494,1.3787,0.007970774305557036,,
stress,abn_multi,damage,Garmin stress score,Two or more organs abnormal,binomial,per 1 SD,13.567662112817763,1936,1.1442,0.9862,1.3274,0.07558164931311308,0.2617335475660794,
stress,abn_multi,damage+hba1c,Garmin stress score,Two or more organs abnormal,binomial,per 1 SD,13.567662112817763,1917,1.097,0.9421,1.2775,0.23327462718049308,,
stress,log_acr,unadjusted,Garmin stress score,log urine ACR (mg/g),gaussian,per 1 SD,13.567662112817763,1942,0.1863,0.1008,0.2718,2.0219837310091325e-05,,
stress,log_acr,damage,Garmin stress score,log urine ACR (mg/g),gaussian,per 1 SD,13.567662112817763,1942,0.1471,0.0606,0.2337,0.000869350863940918,0.0151371708662072,
stress,log_acr,damage+hba1c,Garmin stress score,log urine ACR (mg/g),gaussian,per 1 SD,13.567662112817763,1922,0.1074,0.0204,0.1943,0.015516306405919873,,
stress,log_troponin,unadjusted,Garmin stress score,log hs-cTnT (ng/L),gaussian,per 1 SD,13.567662112817763,1950,0.0242,-0.0002,0.0485,0.05187401200681852,,
stress,log_troponin,damage,Garmin stress score,log hs-cTnT (ng/L),gaussian,per 1 SD,13.567662112817763,1950,0.0168,-0.0053,0.0389,0.13701921790380975,0.38009524255291505,
stress,log_troponin,damage+hba1c,Garmin stress score,log hs-cTnT (ng/L),gaussian,per 1 SD,13.567662112817763,1930,0.0152,-0.0069,0.0373,0.17655306658341555,,
stress,monofilament_missed,unadjusted,Garmin stress score,"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,13.567662112817763,1981,0.0528,-0.0329,0.1385,0.22731026759606782,,
stress,monofilament_missed,damage,Garmin stress score,"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,13.567662112817763,1981,0.0346,-0.0511,0.1204,0.4286667242927569,0.7042425804377598,
stress,monofilament_missed,damage+hba1c,Garmin stress score,"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,13.567662112817763,1924,0.0136,-0.0738,0.1011,0.7598554488814787,,
sleep_hours,abn_kidney,unadjusted,Sleep (hours/night),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.568632283690253,2008,1.0406,0.9178,1.1799,0.5345632378048668,,
sleep_hours,abn_kidney,damage,Sleep (hours/night),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.568632283690253,2008,1.0515,0.9257,1.1943,0.4401516127735998,0.7042425804377598,
sleep_hours,abn_kidney,damage+hba1c,Sleep (hours/night),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.568632283690253,1990,1.0317,0.9065,1.1743,0.6361285449186919,,
sleep_hours,abn_heart,unadjusted,Sleep (hours/night),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.568632283690253,2016,0.8851,0.7914,0.9898,0.03234959311806925,,
sleep_hours,abn_heart,damage,Sleep (hours/night),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.568632283690253,2016,0.8858,0.7845,1.0002,0.050343418615564274,0.22374852718028565,
sleep_hours,abn_heart,damage+hba1c,Sleep (hours/night),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.568632283690253,1998,0.8739,0.7733,0.9877,0.03086348171435384,,
sleep_hours,abn_nerve,unadjusted,Sleep (hours/night),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.568632283690253,2046,1.0916,0.9666,1.2329,0.15792694436906685,,
sleep_hours,abn_nerve,damage,Sleep (hours/night),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.568632283690253,2046,1.1109,0.9789,1.2606,0.1033068211636191,0.3178671420419049,
sleep_hours,abn_nerve,damage+hba1c,Sleep (hours/night),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.568632283690253,1991,1.1039,0.9702,1.2559,0.13332749231673782,,
sleep_hours,abn_any,unadjusted,Sleep (hours/night),Any of the three organs abnormal,binomial,per 1 SD,1.568632283690253,2001,0.9795,0.8929,1.0745,0.6612756562653483,,
sleep_hours,abn_any,damage,Sleep (hours/night),Any of the three organs abnormal,binomial,per 1 SD,1.568632283690253,2001,0.9995,0.9045,1.1044,0.9916149613422095,0.9956851491005055,
sleep_hours,abn_any,damage+hba1c,Sleep (hours/night),Any of the three organs abnormal,binomial,per 1 SD,1.568632283690253,1984,0.985,0.8905,1.0896,0.7695662573938338,,
sleep_hours,abn_multi,unadjusted,Sleep (hours/night),Two or more organs abnormal,binomial,per 1 SD,1.568632283690253,2001,0.9919,0.8634,1.1396,0.9089537286326627,,
sleep_hours,abn_multi,damage,Sleep (hours/night),Two or more organs abnormal,binomial,per 1 SD,1.568632283690253,2001,0.9996,0.8613,1.1601,0.9956851491005055,0.9956851491005055,
