rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
177,E2E.2,qt_ms,abn_multi,QT interval (ms),Two or more organs abnormal,per 1 SD,binomial,2193,0.9581,0.8304,1.1054,0.5572807972179146,0.6368923396776166,1.044,0.235,False,False,3,2,1,False,0.020982128921277887,74.1,False,exploratory — no committed hypothesis,False,0
178,E2D.1,heart_rate,abn_heart,Resting heart rate (bpm),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,1950,0.9603,0.8404,1.0973,0.5514293292514314,0.8169323396317502,1.041,0.222,False,False,3,1,0,False,0.14299644659347768,48.6,False,exploratory — no committed hypothesis,False,0
179,E2C.3,paid_positive,abn_any,PAID-5 distress-positive (>= 8),Any of the three organs abnormal,yes vs no,binomial,2168,0.9332,0.7267,1.1984,0.5878600585454066,0.977752868359944,1.072,0.171,False,False,3,2,0,False,0.33933673801577396,7.5,False,exploratory — no committed hypothesis,False,0
180,E2D.1,heart_rate,log_troponin,Resting heart rate (bpm),log hs-cTnT (ng/L),per 1 SD,gaussian,1950,0.0079,-0.0152,0.0311,0.5028823702773901,0.7736651850421387,0.014,0.144,False,False,3,1,0,False,0.34529169690229417,6.0,False,exploratory — no committed hypothesis,False,0
181,E2B.1,bmi,abn_kidney,BMI (kg/m2),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2220,1.0259,0.8993,1.1704,0.7031925988196996,0.7500721054076797,1.026,0.14,False,False,3,1,0,False,0.5449140550207386,0.0,False,exploratory — no committed hypothesis,False,0
182,E2D.1,heart_rate,abn_any,Resting heart rate (bpm),Any of the three organs abnormal,per 1 SD,binomial,1936,1.0205,0.9131,1.1406,0.7203833751998515,0.943214789897688,1.02,0.111,False,False,3,2,0,False,0.06791869670177685,62.8,False,exploratory — no committed hypothesis,False,0
183,E2D.1,steps,log_acr,Daily steps,log urine ACR (mg/g),per 1 SD,gaussian,1949,0.0211,-0.0666,0.1089,0.6364998510176867,0.909285501453838,0.011,0.11,False,False,3,1,0,False,0.13829160592081022,49.5,False,exploratory — no committed hypothesis,False,0
184,E2D.1,stress,abn_heart,Garmin stress score,Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,1950,0.9803,0.8653,1.1106,0.7544020651778715,0.943214789897688,1.02,0.109,False,False,3,2,0,False,0.6639237177750822,0.0,False,exploratory — no committed hypothesis,False,0
185,E2D.1,sleep_hours,log_acr,Sleep (hours/night),log urine ACR (mg/g),per 1 SD,gaussian,2008,-0.0177,-0.0997,0.0643,0.6717300949009732,0.9265242688289288,0.009,0.092,False,False,3,2,0,False,0.24941210258008648,28.0,False,exploratory — no committed hypothesis,False,0
186,E2B.1,bmi_obese,log_acr,Obese (BMI >= 30),log urine ACR (mg/g),yes vs no,gaussian,2220,0.0344,-0.1331,0.2018,0.6875742107150455,0.7500721054076797,0.018,0.09,False,False,3,2,0,False,0.06228107530610435,64.0,False,exploratory — no committed hypothesis,False,0
187,E2D.1,stress,abn_nerve,Garmin stress score,Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,1981,1.0158,0.8914,1.1575,0.8143852321857096,0.9581002731596584,1.016,0.086,False,False,3,2,0,False,0.6251644805849802,0.0,False,exploratory — no committed hypothesis,False,0
188,E2D.1,spo2,log_troponin,SpO2 (%),log hs-cTnT (ng/L),per 1 SD,gaussian,1601,0.0036,-0.0203,0.0275,0.7688110987701261,0.943214789897688,0.007,0.066,False,False,3,2,0,False,0.8542596743443949,0.0,False,exploratory — no committed hypothesis,False,0
189,E2B.1,bmi_obese,abn_kidney,Obese (BMI >= 30),Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,2220,0.9741,0.7492,1.2666,0.8448707288670974,0.8448707288670974,1.027,0.065,False,False,3,1,0,False,0.2891932290243492,19.4,False,exploratory — no committed hypothesis,False,0
190,E2D.1,spo2,abn_heart,SpO2 (%),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,1601,1.0115,0.8775,1.1659,0.8749846070982427,0.9956851491005057,1.012,0.063,False,False,3,2,0,False,0.8560262631446413,0.0,False,exploratory — no committed hypothesis,False,0
191,E2D.1,sleep_hours,log_troponin,Sleep (hours/night),log hs-cTnT (ng/L),per 1 SD,gaussian,2016,-0.003,-0.024,0.018,0.7781522016655927,0.943214789897688,0.005,0.055,False,False,3,1,0,False,0.6935358652782198,0.0,False,exploratory — no committed hypothesis,False,0
192,E2C.3,paid_total,monofilament_missed,PAID-5 total (0-20),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2219,-0.01,-0.0915,0.0715,0.8104693036656335,0.977752868359944,0.005,0.052,False,False,3,2,0,False,0.7363973973409503,0.0,False,exploratory — no committed hypothesis,False,0
193,E2C.3,paid_positive,log_acr,PAID-5 distress-positive (>= 8),log urine ACR (mg/g),yes vs no,gaussian,2175,0.0201,-0.1798,0.2201,0.8434324474152017,0.977752868359944,0.01,0.052,False,False,3,1,0,False,0.16081025636800184,45.3,False,exploratory — no committed hypothesis,False,0
194,E2E.2,qt_ms,abn_any,QT interval (ms),Any of the three organs abnormal,per 1 SD,binomial,2193,1.0093,0.9146,1.1139,0.8537816622189898,0.8987175391778839,1.009,0.051,False,False,3,1,0,False,0.36822400214548334,0.0,False,exploratory — no committed hypothesis,False,0
195,E2C.3,paid_total,abn_nerve,PAID-5 total (0-20),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2219,0.9913,0.868,1.1321,0.8978448456717472,0.977752868359944,1.009,0.048,False,False,3,1,0,False,0.20189666402533948,37.5,False,exploratory — no committed hypothesis,False,0
196,E2C.3,paid_total,abn_any,PAID-5 total (0-20),Any of the three organs abnormal,per 1 SD,binomial,2168,0.9912,0.8945,1.0985,0.8664391517477662,0.977752868359944,1.009,0.048,False,False,3,1,0,False,0.49355030453409765,0.0,False,exploratory — no committed hypothesis,False,0
197,E2D.1,spo2,abn_multi,SpO2 (%),Two or more organs abnormal,per 1 SD,binomial,1591,0.9946,0.8368,1.1821,0.9509812828791424,0.9956851491005057,1.005,0.03,False,False,3,1,0,False,0.8244313578739995,0.0,False,exploratory — no committed hypothesis,False,0
198,E2D.1,stress,abn_any,Garmin stress score,Any of the three organs abnormal,per 1 SD,binomial,1936,0.9949,0.8955,1.1055,0.92490344263001,0.9956851491005057,1.005,0.028,False,False,3,2,0,False,0.7264385389479608,0.0,False,exploratory — no committed hypothesis,False,0
199,E2C.3,paid_total,log_acr,PAID-5 total (0-20),log urine ACR (mg/g),per 1 SD,gaussian,2175,0.0052,-0.0768,0.0871,0.9016219765568192,0.977752868359944,0.003,0.027,False,False,3,1,0,False,0.22481651164128216,33.0,False,exploratory — no committed hypothesis,False,0
200,E2A.2,insulin_at_target,abn_heart,insulin_at_target,Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,248,0.99,0.5898,1.662,0.9697565322118896,0.9697565322118896,1.01,0.025,False,False,3,2,0,False,0.25516548450567766,26.8,False,exploratory — no committed hypothesis,False,0
201,E2C.3,paid_positive,monofilament_missed,PAID-5 distress-positive (>= 8),"Insensate sites, worse foot (0-10)",yes vs no,gaussian,2219,-0.0079,-0.2066,0.1908,0.9378187161299822,0.977752868359944,0.004,0.02,False,False,3,2,0,False,0.40641659768593275,0.0,False,exploratory — no committed hypothesis,False,0
202,E2C.3,paid_total,abn_multi,PAID-5 total (0-20),Two or more organs abnormal,per 1 SD,binomial,2168,0.9974,0.8539,1.165,0.9740530711745086,0.977752868359944,1.003,0.014,False,False,3,1,0,False,0.5957458595936258,0.0,False,exploratory — no committed hypothesis,False,0
203,E2C.3,paid_positive,abn_nerve,PAID-5 distress-positive (>= 8),Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,2219,0.9954,0.7208,1.3747,0.977752868359944,0.977752868359944,1.005,0.011,False,False,3,1,0,False,0.09869553449800438,56.8,False,exploratory — no committed hypothesis,False,0
204,E2D.1,heart_rate,monofilament_missed,Resting heart rate (bpm),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,1981,0.0014,-0.0879,0.0907,0.9761882477411704,0.9956851491005057,0.001,0.007,False,False,3,1,0,False,0.8490839637474231,0.0,False,exploratory — no committed hypothesis,False,0
205,E2E.2,qt_ms,monofilament_missed,QT interval (ms),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2243,0.0009,-0.08,0.0818,0.982512944060886,0.982512944060886,0.0,0.005,False,False,3,1,0,False,0.4176219206805907,0.0,False,exploratory — no committed hypothesis,False,0
206,E2D.1,sleep_hours,abn_any,Sleep (hours/night),Any of the three organs abnormal,per 1 SD,binomial,2001,0.9995,0.9045,1.1044,0.9916149613422096,0.9956851491005057,1.001,0.003,False,False,3,2,0,False,0.8453655062321821,0.0,False,exploratory — no committed hypothesis,False,0
207,E2D.1,sleep_hours,abn_multi,Sleep (hours/night),Two or more organs abnormal,per 1 SD,binomial,2001,0.9996,0.8613,1.1601,0.9956851491005057,0.9956851491005057,1.0,0.002,False,False,3,2,0,False,0.8506086656566179,0.0,False,exploratory — no committed hypothesis,False,0
