rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
59,E2A.1,glucose_cv,log_acr,CGM coefficient of variation (%),log urine ACR (mg/g),per 1 SD,gaussian,2195,0.1397,0.0519,0.2275,0.001824102041205,0.0029185632659281,0.073,0.727,False,True,3,3,2,True,0.33358817604908303,8.9,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
60,E2A.1,mage,log_troponin,CGM MAGE (mg/dL),log hs-cTnT (ng/L),per 1 SD,gaussian,2201,0.0384,0.0145,0.0622,0.001614920442199,0.0026915340703317,0.07,0.702,False,True,3,3,2,True,0.1706170096473137,43.4,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
61,E2A.1,tar_180,monofilament_missed,CGM time above 180 mg/dL (%),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2238,0.1356,0.0423,0.229,0.0044305159168545,0.0063293084526494,0.07,0.699,False,True,3,3,1,True,0.035745071254097,70.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
62,E2C.1,cesd_positive,monofilament_missed,CES-D-10 screen-positive (>= 10),"Insensate sites, worse foot (0-10)",yes vs no,gaussian,2265,0.2568,0.059,0.4546,0.0109689986295879,0.0438759945183517,0.132,0.662,False,True,3,3,0,True,0.8746786911688622,0.0,True,pre-declared — H2 (Aim 2),True,3
63,E2E.2,pr_ms,log_troponin,PR interval (ms),log hs-cTnT (ng/L),per 1 SD,gaussian,2171,0.0328,0.0121,0.0535,0.0019342101647295,0.0048355254118239,0.06,0.6,False,True,3,3,0,True,0.8986529795701969,0.0,True,corroborative — independent instrument agrees with the heart marker,True,3
64,E2C.1,cesd_total,monofilament_missed,CES-D-10 total (0-30),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2265,0.1133,0.0332,0.1934,0.005591818612492,0.0438759945183517,0.058,0.584,False,True,3,3,0,True,0.8223525684107758,0.0,True,pre-declared — H2 (Aim 2),True,3
65,E2A.1,glucose_mean,monofilament_missed,CGM mean glucose (mg/dL),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2238,0.1096,0.0187,0.2004,0.0180826494243946,0.0226033117804933,0.056,0.565,False,True,3,3,1,True,0.059824215458873356,64.5,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
66,E2A.1,hba1c,monofilament_missed,HbA1c (%),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2203,0.099,0.0058,0.1923,0.0374299599517234,0.0453696484263314,0.051,0.51,False,True,3,3,1,True,0.13810262000325105,49.5,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
67,E2F.1,housing_insecure,unrec_kidney,Housing insecure (no steady place or at risk),Unrecognized — kidney,yes vs no,binomial,260,3.5352,0.5064,24.6795,0.2027844107560238,0.5214456276583469,3.535,3.114,True,False,2,2,0,False,0.4480957894205977,0.0,False,mechanistic — tests why damage goes unrecognized,True,2
68,E2A.2,undiagnosed_range_cgm,abn_multi,undiagnosed_range_cgm,Two or more organs abnormal,yes vs no,binomial,1292,2.1922,0.8486,5.6632,0.1050241876105136,0.3150725628315409,2.192,1.936,True,False,3,2,1,False,0.18685770793505366,40.4,False,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,2
